Name,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
Mark Bradley,WR,73.38,201,4.43,,39.5,128,3.98,6.96
Craig Bragg,WR,72.63,196,4.46,,36,122,,
Jamaal Brimmer,SS,73.38,216,4.87,16,32,108,4.63,7.78
Wesley Britt,OT,80,314,5.3,24,34,112,4.6,8.4
C.J. Brooks,OG,77.5,309,5.17,24,31.5,108,4.56,7.61
Nehemiah Broughton,RB,71.5,250,4.61,25,30,108,4.28,7.54
Elton Brown,OG,76.88,329,4.93,,,,,
Jammal Brown,OT,77.88,316,5.09,26,31.5,109,4.67,7.93
Jason Brown,C,74.75,313,5.5,23,30.5,102,4.51,7.72
Reggie Brown,WR,73.63,196,4.52,,41.5,128,3.94,6.99
Ronnie Brown,RB,72.25,233,4.46,18,34,117,4.08,7.1
Tim Brown,OT,76.5,318,5.67,23,29,89,4.92,7.84
Brandon Browner,CB,75.5,221,4.67,13,36.5,120,4.24,7.2
Anthony Bryant,DT,75,337,5.1,23,31.5,106,4.68,7.8
Doug Buckles,OG,77.25,311,5.52,18,23.5,88,4.8,8.17
Dan Buenning,OG,75.88,320,5.35,29,28,106,4.59,7.9
Josh Bullocks,FS,72,209,4.49,13,37.5,116,4.08,7.09
Tim Bulman,DT,75.5,294,4.94,35,32.5,115,4.2,7.23
Kevin Burnett,OLB,74.88,239,4.61,20,36,119,,
Vincent Burns,DE,72.38,267,4.9,25,35,119,4.41,7.24
Larry Burt,DT,74,304,5.41,22,28,98,4.72,8.03
James Butler,FS,73.88,213,4.58,16,40.5,127,3.98,7.1
Jason Campbell,QB,76.75,230,4.72,,38,,,7.42
Chris Canty,DE,79.25,279,,,,,,
Jerome Carter,SS,71.38,220,4.49,21,35,116,4.04,7.18
Vince Carter,C,74.63,293,5.74,,,,,
Luis Castillo,DT,75.38,303,4.82,32,34.5,110,4.24,
Timmy Chang,QB,73,211,5.1,,29,103,4.2,7.24
Maurice Clarett,RB,71.63,234,4.84,22,34,113,,
Ryan Claridge,OLB,74,254,4.78,25,,,,
Mark Clayton,WR,70.38,193,4.43,,36.5,117,4.07,6.95
Jonathan Clinkscale,OG,74.25,315,5.52,25,27.5,93,,
DeAndra Cobb,RB,69.75,196,4.53,17,34,118,4.25,7.13
Dan Cody,DE,77.5,254,4.75,,33,121,4.56,7.09
Shaun Cody,DT,76,293,4.95,34,30,97,4.48,7.8
Trent Cole,OLB,74.25,236,4.7,15,38,124,4.22,6.98
Eric Coleman,DT,76.88,288,5.15,27,33,118,4.71,7.42
Jerome Collins,TE,76.25,267,4.73,21,,114,,
Nick Collins,CB,71.13,206,4.42,11,40,113,4.16,6.94
Chris Colmer,OT,77.25,310,5.19,29,29,105,4.62,7.58
Jon Colon,OT,79.25,317,5.64,,25.5,82,4.89,8.03
Dustin Colquitt,P,74.38,211,,,,,,
Dan Connolly,OT,75.63,311,5.26,22,28.5,102,4.54,7.65
Sean Considine,FS,72.13,212,4.53,19,37,116,3.92,7.09
Atcheson Conway,SS,70.4,219,4.95,14,32,108,4.1,7.38
Roger Cooper,OLB,74.38,239,4.75,19,35.5,118,4.33,7.28
Junius Coston,C,75.38,310,5.34,21,29.5,101,4.56,7.93
Jonas Crafts,TE,74.88,247,4.89,24,,,,
Vince Crochunis,DT,75.38,295,5.35,,,,,
Garrett Cross,TE,76.38,245,4.85,,35,111,4.28,
Channing Crowder,ILB,74.25,252,4.71,,35.5,120,4.22,6.6
Airese Currie,WR,70.5,186,4.52,,38,125,4.07,7.05
Markus Curry,CB,70.88,181,4.62,12,35,113,3.89,7.04
Tony Curtis,TE,77.38,269,4.97,21,,115,,
Harvey Dahl,OT,78.13,299,5.42,17,27,99,4.58,8.16
Travis Daniels,CB,72.63,194,4.59,,35,117,3.97,6.95
Anthony Davis,RB,66.63,200,4.53,18,38,119,,7.39
Chauncey Davis,DE,73.88,273,4.84,22,37,117,4.44,7.66
Jim Davis,DE,75.5,277,5.05,,34,108,4.23,7.11
Josh Davis,WR,72.38,191,4.55,,37.5,118,4.22,7.19
Thomas Davis,FS,73,230,4.64,,36.5,115,3.97,7.09
John Denney,DE,77.5,265,4.98,20,,110,4.28,6.9
Arrion Dixon,DT,75.63,293,5.2,20,29,103,4.68,7.71
Ben Dougherty,QB,74.13,222,4.84,,33,108,4.34,7.41
Joel Dreessen,TE,76.25,260,4.77,22,36,111,4.01,7.09
Adell Duckett,DE,75.38,270,4.96,14,34.5,104,4.35,7.75
Kevin Dudley,FB,72.5,238,4.96,19,30,109,4.56,7.25
Clifford Dukes,DE,75.5,268,4.98,28,31.5,,,
Jon Dunn,OT,79.25,328,5.44,15,,,4.48,7.71
Braylon Edwards,WR,74.88,211,4.45,22,38,,4.02,6.83
Abraham Elimimian,CB,69.63,190,4.68,14,39,118,4.05,
Atiyyah Ellison,DT,76.25,305,5.1,25,27.5,99,4.79,8
Ben Emanuel,FS,74.75,212,4.57,21,36,120,4.52,7.48
Jamar Enzor,OLB,72.5,243,4.83,21,,,,
Trai Essex,OT,76.5,324,5.63,22,29,91,4.92,8.11
Patrick Estes,TE,78.38,268,4.83,27,31,106,4.51,
Kevin Everett,TE,76.63,241,,,,,,
Liam Ezekiel,ILB,72.13,249,4.83,36,34.5,117,4.12,7.27
Cole Farden,P,70.5,205,,,,,,
Ciatrick Fason,RB,72.75,207,4.58,,,,,
Diamond Ferri,SS,70.13,223,4.64,20,35.5,111,4.14,7.15
Tony Ficklin,DE,73.88,268,4.73,38,39,,,
Ronald Fields,DT,74.38,313,5.16,22,27,100,4.68,8.01
Alfred Fincher,ILB,73.38,238,4.68,25,31.5,112,4.48,7.7
Adam Finley,P,75.63,221,,,,,,
Ryan Fitzpatrick,QB,74.38,232,4.87,,30.5,103,4.07,7.09
Therrian Fontenot,CB,70.88,187,4.42,24,35.5,121,4.09,6.96
Dustin Fox,FS,70.88,191,4.43,7,43.5,,,
Domonique Foxworth,CB,71.13,184,4.39,14,41,125,3.89,6.78
Aaron Francisco,FS,73.88,211,4.76,17,35,110,4.07,6.96
Simon Fraser,DE,77.63,288,5.05,23,28,102,4.43,7.54
Andre Frazier,DE,76.63,234,4.72,19,38,123,4.12,7.09
Charles Frederick,WR,70.75,194,4.78,,33,108,4.25,7.41
Charlie Frye,QB,75.88,225,4.85,,33,109,4.08,6.94
Vincent Fuller,FS,73.13,189,4.44,,,,3.81,6.53
Dylan Gandy,OG,75,304,5.18,,29.5,100,4.51,7.62
Lionel Gates,RB,71.63,222,4.72,23,36,118,4.1,7.17
George Gause,DE,76.88,275,4.68,28,31,105,4.64,7.37
Justin Geisinger,OT,75.75,322,5.38,34,25,92,4.62,7.87
Eric Ghiaciuc,C,76,302,5.14,30,32,102,4.56,7.87
Fred Gibson,WR,76,196,4.57,,38.5,126,4.1,7.03
Howard Gilmore,WR,72,194,4.74,,36,113,4.44,7.56
Matt Giordano,FS,70.75,199,4.48,,33,120,4.17,6.79
Johnathan Goddard,OLB,72.25,238,4.7,27,35,107,4.14,7.48
Michael Goolsby,ILB,75,249,5,19,29.5,112,4.36,7.31
Frank Gore,RB,69.38,217,4.58,,34,109,4.11,6.91
Ryan Grant,RB,73.13,215,4.5,17,33.5,115,4.12,7.08
Eric Green,CB,71.38,198,4.56,,38,120,3.9,6.68
Justin Green,FB,71.38,251,4.91,23,31,106,4.21,7.24
David Greene,QB,75.5,226,4.8,,31.5,113,4.1,7
Kelly Griffeth,TE,77.25,284,4.93,21,28,101,4.27,7.25
Boomer Grigsby,ILB,71.75,249,4.6,32,35.5,112,,7.1
Matt Grootegoed,SS,70.75,218,4.68,22,31.5,107,4.26,7.17
Gino Guidugli,QB,75.75,229,5.04,,29,97,4.52,7.41
Tyjuan Hagler,OLB,71.6,236,4.61,35,35.5,114,4.07,7.21
Josh Haldi,QB,74,215,4.68,,33,113,4.07,6.89
Geoff Hangartner,C,77,301,5.25,26,28.5,100,4.52,7.62
Jason Harmon,FS,71.5,209,4.74,23,37,117,4.1,7.61
Reggie Harrell,WR,74.75,214,4.61,,35,111,4.11,7.42
Jermaine Harris,FS,75.25,208,4.76,,36,,,
Kay-Jay Harris,RB,72.38,241,4.6,,38,119,4.1,7.2
Marques Harris,OLB,73,231,4.76,22,40.5,117,4.07,7.19
Arnold Harrison,OLB,74.75,236,4.66,19,34.5,117,4.35,7.31
Michael Hawkins,FS,73.25,178,4.41,,34,,4.2,6.79
Anttaj Hawthorne,DT,75.38,321,5.25,21,27,98,4.69,8
Kelvin Hayden,CB,70.38,197,4.52,17,34,111,3.9,6.87
Jovan Haye,DE,74,284,4.77,33,34,110,4.35,7.38
Alex Haynes,RB,69.88,223,4.54,21,32.5,120,3.9,
Madison Hedgecock,FB,75,266,4.92,29,32.5,106,4.24,7.41
Chris Henry,WR,76,197,4.5,,36,,,
Todd Herremans,OT,77.75,321,5.2,20,30,,,
Noah Herron,RB,71,224,4.67,17,31,107,3.97,6.95
Efrem Hill,WR,72.5,179,4.64,,37.5,123,4.07,7.42
Leroy Hill,ILB,73,229,4.7,25,34,116,4.1,7.23
Reynaldo Hill,CB,71,187,4.36,,,,,
Ellis Hobbs,CB,69,192,4.49,12,42,121,4.07,6.8
Drew Hodgdon,C,74.75,309,5.31,,32,108,4.45,7.49
Alphonso Hodge,CB,70.75,203,4.47,20,34,124,3.99,7.34
Reggie Hodges,P,72.38,226,,,,,,
Terry Holley,SS,73.25,211,4.68,24,37,115,,
Daven Holly,CB,70.38,192,4.44,15,39,113,4.08,7.16
Alex Holmes,TE,73.75,265,4.92,18,,,,
Cedric Houston,RB,70.75,225,4.61,,35,120,4.5,7.28
Jeb Huckeba,DE,76.38,252,4.63,18,33.5,120,4.15,6.92
Ray Hudson,RB,69.75,192,4.5,15,,,,
Rob Hunt,C,75.75,301,5.02,31,34.5,107,4.48,7.53
Kevin Huntley,DE,78.75,267,,17,,,,
Richie Incognito,C,75.25,305,4.92,29,,,,
Marlin Jackson,CB,72.63,198,4.52,23,36,125,3.96,6.95
Tony Jackson,TE,74,266,4.76,23,33,112,4.48,7.5
Vincent Jackson,WR,76.75,241,4.5,23,39,129,4,
Brandon Jacobs,RB,76.25,267,4.56,19,37,118,4.46,7.53
Erasmus James,DE,76.13,266,4.86,,37.5,120,4.37,7.56
Jason Jefferson,DT,73.63,310,5.1,19,28.5,102,4.48,7.8
Cedric Johnson,OG,74.63,332,,,,,,
Chase Johnson,OT,80.5,330,5.45,14,27,91,4.7,8.15
Derrick Johnson,OLB,75.25,242,4.54,,37.5,120,3.87,7.2
Marcus Johnson,OG,78.5,321,5.56,21,27.5,97,4.71,7.71
Travis Johnson,DT,75.63,305,4.91,23,34,103,4.42,7.48
Adam Jones,CB,69.5,187,4.38,9,38.5,,,
Brandon Jones,WR,73.38,210,4.47,,37,114,4.08,7.03
Matt Jones,TE,78.3,242,4.38,20,39.5,123,4.2,
Tyler Jones,K,72.75,201,,,,,,
Keith Joseph,FB,73.88,254,4.73,27,33,113,4.2,7.43
Nick Kaczur,OT,76.5,319,5.3,22,31.5,103,4.76,7.69
Dave Kashetta,TE,75.38,247,4.9,17,35.5,113,4.34,7.34
Chris Kemoeatu,OG,75.5,344,5.36,26,29,97,4.54,7.75
Adam Kieft,OT,79.25,337,5.52,28,33,110,4.77,7.8
James Kilian,QB,75.25,218,4.93,,35,120,4.22,6.76
Eric King,CB,68.5,189,4.49,12,38,126,4.2,6.96
Tyler King,DE,77.5,271,4.89,20,36,115,4.34,7.57
Marcus Lawrence,ILB,74.13,243,4.65,19,34,120,4.32,7.16
Stefan LeFors,QB,72.13,208,4.61,,31,111,4.09,7.03
Jim Leonhard,FS,68.38,191,4.63,19,,,,
Samuel Lightbody,OT,81,321,5.67,,30,108,4.41,7.95
Dustin Long,QB,74.5,208,4.69,,30.5,108,4.08,6.77
Khari Long,DE,75.63,257,4.76,27,38.5,121,4.07,7.22
Daniel Loper,OT,78,306,5.35,14,31,98,4.68,7.74
Chase Lyman,WR,74.63,217,4.51,16,36.5,115,,
Andre Maddox,SS,72.63,205,4.51,17,36.5,127,,7.33
Tony Madison,WR,73.5,214,4.52,,39,121,4.31,7.14
Alfred Malone,DT,76,305,5.16,21,35,110,4.62,7.42
Logan Mankins,OG,76.13,307,5.14,21,30,95,4.44,7.52
Tommy Manus,WR,75.88,222,4.61,,38,120,4.34,7.2
Evan Mathis,OG,77.25,304,4.96,35,34,117,4.16,7.37
Jerome Mathis,WR,71.25,181,4.26,,35.5,123,,
Will Matthews,FB,73,248,,,,,,
Marcus Maxwell,WR,75.25,204,4.45,,40.5,122,3.91,6.57
Leron McCoy,WR,73.5,211,4.41,,37,119,4.21,7.19
Matt McCoy,OLB,72.25,245,4.58,19,33.5,115,4.2,7.03
Robert McCune,ILB,72,245,4.51,34,,,,
Bryant McFadden,CB,71.75,193,4.53,23,38.5,126,4.04,
Lynn McGruder,DT,73.38,307,5.01,28,35.5,112,4.42,7.71
Chris McKenzie,CB,68.5,185,4.37,6,45,133,4.32,6.9
T.A. McLendon,RB,70.25,235,4.74,27,35,115,4.19,7.34
Pete McMahon,OT,79.63,329,5.45,26,25.5,90,4.8,7.97
David McMillan,DE,75,262,4.58,16,34,120,4.07,7.11
Adrian McPherson,QB,75.5,218,4.73,22,34.5,128,4.08,6.93
Albert Means,DT,75.88,318,5.48,26,27,96,4.87,8.21
Shawne Merriman,DE,76.38,272,4.68,25,40,121,4.21,
Heath Miller,TE,77,256,,,,,,
Justin Miller,CB,69.8,201,4.46,15,41.5,126,,
Lance Mitchell,ILB,74.13,247,4.91,15,33.5,,4.38,7.49
Ryan Moats,RB,68.25,210,4.49,19,36,116,4.1,7.22
Mike Montgomery,DE,76.88,276,5.08,19,34.5,115,4.32,7.38
Eric Moore,DE,76.25,268,4.85,22,29.5,105,4.5,7.62
Lance Moore,WR,69.25,177,4.52,,40,117,4.32,7.12
Vernand Morency,RB,69.63,212,4.51,19,33.5,108,4.12,7.02
Dominique Morris,CB,71.13,197,4.52,16,34,118,4.09,6.78
Kirk Morrison,ILB,73,235,4.69,25,33,114,4.31,7.12
C.J. Mosley,DT,74,312,5.08,27,27.5,100,4.65,8.21
Scott Mruczkowski,C,76.5,321,5.29,28,,,,
Michael Munoz,OT,77.5,306,,,,,,
Terrence Murphy,WR,72.88,202,4.43,,41,128,3.91,7.02
Chris Myers,OG,76.63,300,5.18,25,32,106,4.35,7.35
Jared Newberry,OLB,73.13,234,,,,,,
Donte Nicholson,SS,73.5,212,4.55,18,34,123,4.25,7.23
Doug Nienhuis,OG,77.75,307,5.18,22,28.5,95,4.47,7.5
Nick Novak,K,71.5,191,,,,,,
Mike Nugent,K,69.63,182,,,,,,
Craig Ochs,QB,73.75,218,4.91,,28.5,101,4.13,7.03
Frank Omiyale,OT,76.25,310,5.4,22,28.5,101,4.72,8.19
Dan Orlovsky,QB,77,225,4.98,,29.5,105,4.39,7.33
Kyle Orton,QB,76,233,5.11,,26.5,,4.52,7.38
Chad Owens,WR,67.38,183,4.66,23,37,110,3.94,6.7
Jeremy Parquet,OT,78.75,323,5.34,17,28.5,88,4.8,7.95
Roscoe Parrish,WR,69.75,168,4.4,10,36,126,4.2,6.64
Martin Patterson,ILB,73.5,243,4.92,21,34,110,4.2,7.31
Mike Patterson,DT,71.63,292,5.08,26,32.5,108,4.49,7.62
Karl Paymah,CB,72,204,4.38,15,41.5,121,3.91,7.09
Alvin Pearman,RB,69.38,208,4.65,24,34,112,4.08,7.06
Erik Pears,OT,79.75,312,,,,,,
Antonio Perkins,CB,70.75,190,4.53,10,40,126,4.07,7.17
Tab Perry,WR,74.5,229,4.48,,34,116,4.22,7
Rob Petitti,OT,77.88,347,5.48,,,,,
Kenneth Pettway,OLB,75,236,4.73,22,32.5,114,4.31,7.29
David Pollack,DE,74.13,265,4.81,25,37,118,3.9,6.86
Jonathan Pollard,OLB,73,247,4.71,21,35,116,4.07,7.41
Brodney Pool,FS,73,207,4.52,,39,120,4.49,7.24
Brady Poppinga,DE,75.13,259,4.63,26,35.5,106,4.38,7.27
Sione Pouha,DT,75.38,325,5.02,32,32.5,107,4.49,7.84
Duke Preston,C,77.13,311,5.42,21,32,96,4.45,7.57
Bobby Purify,RB,72.38,212,4.67,15,33.5,116,4.17,7.22
Bryan Randall,QB,72.25,225,4.72,,33,112,4.08,6.97
Jay Ratliff,DE,75.75,292,4.85,26,33.5,117,4.23,7.35
Jamaica Rector,WR,69.75,186,4.5,17,36.5,119,4.13,6.78
Lamont Reid,CB,71.25,195,4.59,15,40.5,120,4.28,7.18
Walter Reyes,RB,70,209,4.52,16,32,108,4.38,7.23
Joe Rheem,K,72.25,217,,,,,,
Kerry Rhodes,FS,74.5,209,4.59,12,42,123,4.12,6.94
Ryan Riddle,DE,73.75,256,4.82,18,20.5,107,4.38,7.31
Dante Ridgeway,WR,71.13,212,4.6,15,33,117,4.39,7.27
Chris Rix,QB,74,214,4.73,,33.5,113,4.53,7.53
Derreck Robinson,DT,76.25,289,5.04,27,34.5,108,4.53,7.97
Leon Robinson,OG,76,314,5.25,22,34.5,108,4.76,8.27
Courtney Roby,WR,72.13,189,4.41,,36.5,125,3.94,6.6
Aaron Rodgers,QB,74,223,4.75,,34.5,110,4.32,7.38
Carlos Rogers,CB,72.38,196,4.45,15,40.5,126,3.82,6.48
Antrel Rolle,CB,72.13,201,4.5,15,37,123,4.01,6.68
Michael Roos,OT,78.63,320,5.28,19,29,96,4.5,7.72
Junior Rosegreen,CB,70.88,189,4.63,,,,,
Matt Roth,DE,75.75,278,4.83,26,32,110,4.36,7.65
Stanford Routt,CB,73.38,193,4.33,,36.5,127,3.9,6.63
J.R. Russell,WR,75,206,4.58,,34.5,120,4.02,6.92
Barrett Ruud,ILB,74.5,241,4.76,25,34.5,108,3.94,7.22
James Sanders,SS,70.75,214,4.65,22,36,112,4.02,7.12
Steve Savoy,WR,70.88,192,4.66,,32,109,4.22,7.28
Bo Scaife,TE,74.63,249,4.79,24,32.5,110,4.12,7.21
Gerald Sensabaugh,FS,72.5,214,4.48,17,46,113,3.98,6.8
Adam Seward,ILB,74.25,248,4.61,33,36.5,120,4.11,7.16
Ernest Shazor,SS,75.63,228,4.65,19,30,121,,
Dan Sheldon,WR,68.88,179,4.46,,,,,
Eric Shelton,RB,73.5,246,4.57,18,38.5,122,4.08,7.46
Darrell Shropshire,DT,74.25,301,4.9,25,34,114,4.31,7.54
Wes Sims,OT,77,318,5.42,26,28,104,4.43,7.68
Alex Smith,TE,76.13,258,4.75,28,,,,
Alex Smith,QB,76.13,217,4.78,,32,113,3.96,6.82
Tyson Smith,OLB,74,240,,9,,118,,7.09
Adam Snyder,OG,77.38,316,5.38,21,28.5,93,4.83,7.83
Marcus Spears,DE,76,307,5.03,15,31,,4.44,7.21
Nick Speegle,OLB,77.13,242,4.54,18,38.5,123,4.38,7.12
Chris Spencer,C,74.88,309,5.24,26,29,104,4.59,8.06
Darren Sproles,RB,66.13,187,4.49,23,33,102,3.96,6.96
Scott Starks,CB,68.5,172,4.42,13,43,133,3.9,6.99
Nick Steitz,OG,75.5,312,5.6,,29.5,97,4.65,8.16
David Stewart,OT,78.5,314,5.25,24,34,105,,
Chauncey Stovall,WR,72.75,221,4.66,,,,,
Taylor Stubblefield,WR,71.25,174,4.75,,32,114,4.18,6.94
Will Svitek,OT,78.5,305,4.93,33,32,112,,
Bill Swancutt,DE,76,270,5.03,23,34,113,4.24,7.35
Matthew Tant,FB,69.5,231,4.58,24,33.5,110,4.25,7.25
Lofa Tatupu,ILB,71.88,238,4.84,23,35,113,4.16,7.31
Claude Terrell,OG,74.25,343,5.41,27,24.5,88,4.75,8.17
Adam Terry,OT,80,330,5.43,21,26.5,95,4.78,7.89
Benard Thomas,DE,75.88,269,4.92,27,30,100,4.34,8.24
Pat Thomas,OLB,72.88,238,,,,,,
Duvol Thompson,CB,69.88,185,,,,,,
Craphonso Thorpe,WR,72.88,188,4.38,,,,,
Odell Thurman,ILB,72.13,233,4.7,23,34,113,4.28,7.47
Justin Tuck,DE,77,268,4.71,24,37.5,118,4.29,7.33
Zach Tuiasosopo,FB,73.75,249,5.03,19,25.5,100,4.67,7.57
Marviel Underwood,FS,70.25,205,4.52,19,38,116,4.21,7.12
Jimmy Verdon,DE,75.13,280,5.05,18,29.5,105,4.53,7.89
Kevin Vickerson,DT,77,310,5.07,20,32.5,97,4.64,7.78
Cameron Wake,OLB,74.75,236,4.65,20,45.5,130,4.13,7.12
Rian Wallace,OLB,74.25,241,4.68,10,35.5,111,3.94,7.45
Andrew Walter,QB,78.13,233,4.86,,,,,
DeMarcus Ware,OLB,76,251,4.6,27,38.5,122,4.07,6.83
Paris Warren,WR,72.38,219,4.73,,31.5,,4.18,6.98
Fabian Washington,CB,70.5,188,4.31,18,41.5,122,3.91,
Mike Watson,OT,76.13,316,5.51,,27.5,95,,
Corey Webster,CB,72.13,199,4.51,9,39,124,4.01,6.91
Marquis Weeks,SS,70.5,216,4.62,23,36.5,119,3.89,7.46
Jonathan Welsh,OLB,75.25,244,4.61,19,40.5,128,4.22,7.83
Jason White,QB,74.5,223,4.93,,31,102,4.19,7.28
Manuel White,FB,74.25,244,4.64,,31,106,4.49,7.41
Roddy White,WR,73.25,207,4.46,18,41,126,4.01,7.12
Sam Wilder,OT,76.9,298,5.39,23,26.5,99,4.5,7.43
Ben Wilkerson,C,75.5,299,,,,,,
Aric Williams,CB,71.5,187,4.58,8,36,117,,
Carnell Williams,RB,70.88,217,4.43,19,35.5,118,4.15,6.94
Cedrick Williams,CB,69.75,168,4.55,13,35,121,4.22,7.24
Darrent Williams,CB,68.63,176,4.3,16,39,124,3.96,6.97
Mike Williams,WR,76.63,229,4.57,,36.5,123,4.23,6.95
Roydell Williams,WR,73.38,195,4.52,,38,,,
Troy Williamson,WR,73.38,203,4.34,,37,,4.18,6.99
Ray Willis,OT,77.63,327,5.4,27,,,,
Stanley Wilson,CB,71.75,185,4.39,14,39.5,123,,
Jerron Wishom,CB,71.75,193,4.53,18,38,118,4.07,6.81
Cornelius Wortham,OLB,73.4,236,4.76,22,37,106,4.38,
Scott Young,OG,75.63,312,5.07,43,32.5,115,4.37,7.46
Derek Abney,WR,69.3,179,4.56,,33.5,120,4.08,6.89
Nathaniel Adibi,DE,75.3,254,4.65,,33,118,4.36,
Roc Alexander,CB,71,185,4.37,,39.5,125,4.23,6.97
Rich Alexis,RB,72,210,4.65,,32,114,4.43,7.41
Jared Allen,DE,78,265,4.76,13,33,120,4.34,7.11
Marcell Allmond,CB,72,209,4.63,21,38,123,4.34,7.37
Courtney Anderson,TE,78,269,4.89,17,30,106,4.54,7.86
Shawn Andrews,OT,76.1,366,5.49,27,25,98,4.85,8.25
Stacy Andrews,OT,78.1,342,5.07,34,30.5,106,4.78,8.09
Matthias Askew,DT,77.4,308,5.24,20,27,101,4.42,7.55
Jason Babin,DE,74.6,260,4.65,28,34,121,4.14,7.03
Rashad Baker,FS,70.5,204,4.55,21,36,117,4.12,7.19
Dave Ball,DE,77.4,277,5.07,24,,,,
Jacob Bell,OG,76.8,302,5.22,26,,,,
Tatum Bell,RB,71,212,4.39,25,38.5,117,,
Bernard Berrian,WR,73,183,4.58,,38,128,4.18,7.34
Ryon Bingham,DT,75.4,303,5.14,33,30,109,4.38,7.44
Bobby Blizzard,TE,76,266,4.89,12,,102,,
Colby Bockwoldt,OLB,73.6,230,4.59,14,34,112,4.05,7.12
Ryan Boschetti,DT,76.4,306,5.15,,29.5,110,4.27,7.41
Michael Boulware,OLB,74,225,4.5,,,,3.92,6.89
Jon Bradley,DT,73,306,5.09,19,26.5,104,4.85,7.88
Maurice Brown,WR,72.3,219,4.54,,33,117,4.21,7.38
Rufus Brown,CB,69.3,187,4.45,15,33,124,4.44,7.24
Tony Bua,SS,71.3,209,4.65,15,36,120,4.08,6.75
Sean Bubin,OT,78.5,306,5.29,25,24.5,97,4.76,7.66
Josh Buhl,OLB,71.3,204,4.7,,29,114,4.32,7.26
Kelly Butler,OT,79.4,320,5.12,,30.5,105,4.92,7.96
Darrell Campbell,DT,75.6,302,5.21,25,33,111,4.66,7.63
Dietrich Canterberry,DT,74.9,308,5.35,26,,,,
Vernon Carey,OG,76.4,335,5.32,30,,,,
Ahmad Carroll,CB,69.6,195,4.36,15,41,128,,
Jordan Carstens,DT,77.4,305,5.05,28,28.5,106,4.8,8.35
Ran Carthon,RB,71.4,224,4.45,22,34.5,112,4.12,
Marko Cavka,OT,79,294,5.17,27,27.5,107,4.4,7.57
Toby Cecil,C,76,297,5.25,19,,85,4.98,8.31
Kirk Chambers,OT,79.3,313,5.51,22,27,101,4.4,7.56
Ahmad Childress,DT,77.9,351,5.32,,22,86,4.94,8.75
Brandon Chillar,OLB,74.9,253,4.75,23,33,115,4.08,
Quinn Christensen,OG,77.9,312,5.1,32,,,,
Tyson Clabo,OG,78.9,315,5.45,24,30,100,4.88,8.09
Adrien Clarke,OG,77,329,5.49,,26,102,4.74,7.9
Michael Clayton,WR,74.8,209,4.61,,32.5,116,4.09,6.77
Cedric Cobbs,RB,72.1,223,4.72,,40,123,,
Cols Colas,OLB,71.6,233,4.59,22,34.5,118,,
Ricardo Colclough,CB,70.6,194,4.5,8,39.5,127,,
Erik Coleman,FS,70.5,200,4.62,16,35.5,117,4.14,7.03
Chris Collins,WR,73.1,201,4.67,,35,112,,
Chris Cooley,TE,75.5,265,4.86,22,33,115,4.19,7.21
Marquis Cooper,OLB,75.3,223,4.55,25,36.5,121,4.12,7.02
Terrance Copper,WR,71.9,208,4.51,,35.5,116,4.31,7.34
Jorge Cordova,ILB,74,237,4.68,22,35.5,,4.17,7.28
Jerricho Cotchery,WR,72.5,212,4.56,,36,121,3.91,6.93
Regis Crawford,OG,74,316,6.07,,,,4.86,8.03
Duron Croson,RB,72.8,226,4.84,14,30.5,108,,
Tom Crowder,WR,73,183,4.45,,38.5,132,,
Kentrell Curry,FS,73,201,4.63,17,34.5,127,,
Lane Danielson,WR,73,197,4.6,,31,117,4.07,6.73
Trey Darilek,OG,76,301,5.23,22,28.5,110,4.66,7.85
Devard Darling,WR,73.1,213,4.52,,37,129,,
Josh Davis,RB,70.4,200,4.53,13,33.5,112,4.07,7.27
Rod Davis,ILB,74,239,4.71,,,114,4.02,7.2
Curtis DeLoatch,CB,74.4,214,4.52,10,35.5,120,4.42,6.97
Mondre Dickerson,DT,76.1,316,5.12,29,27,106,,8.34
Daryl Dixon,FS,69.6,195,4.75,15,35.5,118,,
Darnell Dockett,DT,75.4,297,5,26,31,105,,
Nat Dorsey,OT,79,322,5.46,26,28.5,102,4.89,8.3
Khiawatha Downey,OG,76.1,332,5.47,21,26.5,98,4.82,8.01
Vontez Duff,CB,70.6,203,4.55,13,35,120,4.03,6.94
Jeff Dugan,TE,77,263,5,21,28,109,4.4,7.43
Glenn Earl,SS,73.1,222,4.65,20,,,,
Joe Echemandu,RB,70.8,226,4.58,15,,,,
Dwan Edwards,DT,74.8,313,5.14,25,28,105,4.68,7.59
DeAndre Eiland,FS,71.5,202,4.54,17,35,113,4.27,7.19
Kevin Emanuel,DE,76,251,4.84,21,31,108,4.49,7.86
Tim Euhus,TE,77,260,4.89,25,34.5,115,4.13,6.99
Lee Evans,WR,70.9,197,4.41,,34.5,120,,
Clarence Farmer,RB,71.9,231,4.69,21,34.5,120,4.25,7.44
Jason Fife,QB,75.9,226,4.95,,30.5,113,4.18,7.28
Troy Fleming,FB,72,230,4.67,,32,120,3.91,6.94
JohnPaul Foschi,TE,75.9,266,5.01,24,30.5,111,4.35,7.49
Ryan Fowler,ILB,75.1,250,4.76,35,37.5,118,4.19,7.19
Keyaron Fox,OLB,74.4,227,4.65,28,,,,
