name,five_ft_split,ten_ft_split,fifteen_ft_split,twenty_ft_split,twenty_five_ft_split,thirty_ft_split,thirty_five_ft_split,forty_ft_split,forty_five_ft_split,fifty_ft_split,fifty_five_ft_split,sixty_ft_split,sixty_five_ft_split,seventy_ft_split,seventy_five_ft_split,eighty_ft_split,eighty_five_ft_split,ninety_ft_split,ID,weight,height,bats,throws
"Blandino, Alex",0.555,0.88,1.16,1.41,1.65,1.87,2.09,2.3,2.5,2.7,2.89,3.085,3.275,3.475,3.665,3.86,4.055,4.26,1564,190,72,R,R
"Blash, Jabari",0.53,0.83,1.095,1.345,1.575,1.785,1.99,2.185,2.375,2.56,2.745,2.925,3.105,3.275,3.455,3.625,3.8,3.98,1580,235,77,R,R
"Bleday, JJ",0.555,0.86,1.13,1.365,1.59,1.795,2,2.19,2.38,2.565,2.75,2.93,3.105,3.285,3.465,3.645,3.825,4.025,1594,205,75,L,L
"Bloomquist, Willie",0.54,0.83,1.08,1.32,1.55,1.76,1.97,2.17,2.36,2.55,2.74,2.92,3.1,3.28,3.45,3.63,3.8,3.98,1617,200,71,R,R
"Boesch, Brennan",0.53,0.82,1.07,1.3,1.53,1.74,1.95,2.14,2.33,2.52,2.7,2.88,3.06,3.24,3.42,3.59,3.78,3.96,1655,225,76,L,L
"Bogaerts, Xander",0.5555555556,0.8666666667,1.13,1.37,1.591111111,1.802222222,2.004444444,2.2,2.384444444,2.57,2.751111111,2.927777778,3.103333333,3.275555556,3.448888889,3.62,3.794444444,3.98,1657,218,74,R,R
"Bohm, Alec",0.56,0.8875,1.16,1.4075,1.635,1.85,2.0575,2.26,2.45,2.645,2.8275,3.0125,3.1975,3.375,3.5525,3.735,3.9175,4.1025,1670,218,77,R,R
"Bolt, Skye",0.55,0.86,1.12,1.36,1.57,1.78,1.98,2.17,2.36,2.54,2.72,2.9,3.07,3.25,3.42,3.6,3.78,3.98,1703,180,74,B,R
"Bonifacio, Jorge",0.5466666667,0.8566666667,1.123333333,1.366666667,1.593333333,1.803333333,2.006666667,2.2,2.386666667,2.573333333,2.75,2.926666667,3.1,3.276666667,3.443333333,3.613333333,3.79,3.97,1719,220,73,R,R
"Bote, David",0.548,0.858,1.12,1.362,1.59,1.804,2.008,2.204,2.398,2.59,2.774,2.958,3.138,3.316,3.496,3.676,3.854,4.04,1799,205,73,R,R
"Bourgeois, Jason",0.54,0.82,1.06,1.29,1.51,1.72,1.92,2.11,2.29,2.47,2.65,2.82,2.99,3.16,3.33,3.5,3.67,3.83,1816,195,69,R,R
"Bourjos, Peter",0.54,0.8225,1.0675,1.295,1.51,1.715,1.9075,2.09,2.27,2.445,2.6175,2.7875,2.9575,3.12,3.2875,3.45,3.62,3.795,1819,190,73,R,R
"Bour, Justin",0.56,0.878,1.156,1.418,1.662,1.898,2.118,2.33,2.54,2.746,2.946,3.15,3.35,3.552,3.752,3.956,4.174,4.398,1820,270,76,L,R
"Bourn, Michael",0.515,0.785,1.025,1.255,1.475,1.68,1.88,2.07,2.25,2.43,2.61,2.78,2.955,3.13,3.3,3.47,3.645,3.825,1821,190,71,L,R
